"Experiment","FDR","peptide_ids"
"TimsOff",0.166,19651
"TimsOn",0.166,23283
"IMwin",0.166,27402
"IMwin_IMscored",0.166,27714
"TimsOff",0.167,19686
"TimsOn",0.167,23322
"IMwin",0.167,27452
"IMwin_IMscored",0.167,27765
"TimsOff",0.168,19740
"TimsOn",0.168,23390
"IMwin",0.168,27483
"IMwin_IMscored",0.168,27801
"TimsOff",0.169,19786
"TimsOn",0.169,23420
"IMwin",0.169,27527
"IMwin_IMscored",0.169,27845
"TimsOff",0.17,19831
"TimsOn",0.17,23475
"IMwin",0.17,27545
"IMwin_IMscored",0.17,27890
"TimsOff",0.171,19860
"TimsOn",0.171,23506
"IMwin",0.171,27604
"IMwin_IMscored",0.171,27914
"TimsOff",0.172,19919
"TimsOn",0.172,23538
"IMwin",0.172,27634
"IMwin_IMscored",0.172,27955
"TimsOff",0.173,19964
"TimsOn",0.173,23589
"IMwin",0.173,27665
"IMwin_IMscored",0.173,28007
"TimsOff",0.174,20003
"TimsOn",0.174,23635
"IMwin",0.174,27708
"IMwin_IMscored",0.174,28041
"TimsOff",0.175,20059
"TimsOn",0.175,23674
"IMwin",0.175,27763
"IMwin_IMscored",0.175,28063
"TimsOff",0.176,20091
"TimsOn",0.176,23715
"IMwin",0.176,27800
"IMwin_IMscored",0.176,28119
"TimsOff",0.177,20117
"TimsOn",0.177,23773
"IMwin",0.177,27841
"IMwin_IMscored",0.177,28160
"TimsOff",0.178,20145
"TimsOn",0.178,23814
"IMwin",0.178,27867
"IMwin_IMscored",0.178,28208
"TimsOff",0.179,20184
"TimsOn",0.179,23852
"IMwin",0.179,27906
"IMwin_IMscored",0.179,28258
"TimsOff",0.18,20212
"TimsOn",0.18,23914
"IMwin",0.18,27929
"IMwin_IMscored",0.18,28303
"TimsOff",0.181,20235
"TimsOn",0.181,23966
"IMwin",0.181,27972
"IMwin_IMscored",0.181,28345
"TimsOff",0.182,20270
"TimsOn",0.182,24006
"IMwin",0.182,28018
"IMwin_IMscored",0.182,28389
"TimsOff",0.183,20302
"TimsOn",0.183,24045
"IMwin",0.183,28058
"IMwin_IMscored",0.183,28426
"TimsOff",0.184,20357
"TimsOn",0.184,24120
"IMwin",0.184,28100
"IMwin_IMscored",0.184,28462
"TimsOff",0.185,20391
"TimsOn",0.185,24161
"IMwin",0.185,28144
"IMwin_IMscored",0.185,28498
"TimsOff",0.186,20440
"TimsOn",0.186,24209
"IMwin",0.186,28188
"IMwin_IMscored",0.186,28548
"TimsOff",0.187,20483
"TimsOn",0.187,24254
"IMwin",0.187,28226
"IMwin_IMscored",0.187,28587
"TimsOff",0.188,20513
"TimsOn",0.188,24287
"IMwin",0.188,28272
"IMwin_IMscored",0.188,28627
"TimsOff",0.189,20560
"TimsOn",0.189,24339
"IMwin",0.189,28315
"IMwin_IMscored",0.189,28661
"TimsOff",0.19,20613
"TimsOn",0.19,24395
"IMwin",0.19,28365
"IMwin_IMscored",0.19,28690
"TimsOff",0.191,20657
"TimsOn",0.191,24441
"IMwin",0.191,28404
"IMwin_IMscored",0.191,28723
"TimsOff",0.192,20709
"TimsOn",0.192,24485
"IMwin",0.192,28459
"IMwin_IMscored",0.192,28767
"TimsOff",0.193,20736
"TimsOn",0.193,24537
"IMwin",0.193,28500
"IMwin_IMscored",0.193,28812
"TimsOff",0.194,20767
"TimsOn",0.194,24590
"IMwin",0.194,28552
"IMwin_IMscored",0.194,28854
"TimsOff",0.195,20804
"TimsOn",0.195,24663
"IMwin",0.195,28601
"IMwin_IMscored",0.195,28899
"TimsOff",0.196,20841
"TimsOn",0.196,24699
"IMwin",0.196,28652
"IMwin_IMscored",0.196,28956
"TimsOff",0.197,20872
"TimsOn",0.197,24751
"IMwin",0.197,28688
"IMwin_IMscored",0.197,29010
"TimsOff",0.198,20919
"TimsOn",0.198,24786
"IMwin",0.198,28717
"IMwin_IMscored",0.198,29064
"TimsOff",0.199,20950
"TimsOn",0.199,24808
"IMwin",0.199,28749
"IMwin_IMscored",0.199,29106
"TimsOff",0.2,20968
"TimsOn",0.2,24843
"IMwin",0.2,28791
"IMwin_IMscored",0.2,29151
